global_forced,local_forced,global_free,local_free
105.091759376427,101.631091070355,177.375776753347,161.444152430708
166.27821978425,163.182009333989,126.254412872573,113.933010569733
109.451672402921,113.220995117829,196.399330210744,203.666841904351
222.17296355451,219.228084611364,199.088418996432,187.077608059176
254.513246809352,187.139287441656,229.918059156801,216.7133507604
128.156451891389,134.522499041835,141.37595044543,151.244896432548
278.049490126265,260.205012326899,232.215115809641,227.128024587005
156.287069710448,153.203241691177,190.370361105607,175.916046763132
117.124392758525,118.100359024615,142.757228763225,143.490403393637
273.491349992594,225.92077419358,156.872023070368,162.95626803165
137.928955602472,137.975236357236,109.381745187279,108.927440194443
160.267834171115,164.546902498955,207.326103865838,205.10079633869
138.522372991193,131.908976027508,100.173884435759,102.711667185447
210.994911535802,196.595663614419,168.383669300561,207.276848513907
149.914331830714,150.356305012971,176.249247218695,133.00746345657
197.073002806826,209.665663133595,177.436485308132,171.62445697517
202.175198147659,189.479120161313,218.720621175095,213.814858044825
284.10235101598,254.596201712026,215.120878062679,214.577783069508
155.31387384465,149.416179676971,108.899910454439,103.320595590389
135.64530766177,124.921611056451,63.2221203639889,62.631833061173
200.183843655041,202.159602776524,211.620161720224,226.577831330054
253.319063476705,185.386877665314,222.685395484784,184.828932769759
152.224595359532,144.212168497206,185.181941020124,127.305794636732
141.584694367505,143.357197007528,147.128069080485,144.874658310073
154.147501016455,155.212397812283,201.257693245052,187.050624253259
234.156368376288,188.390915325967,139.161636478011,114.320132876163
166.143895003762,166.133425616895,165.41450112737,161.642459376273
244.558561203711,248.163407407183,138.227882717147,135.225438241785
171.523903645067,150.622409873063,220.410326506555,210.162392352823
90.1184728278084,92.3976550253414,193.245254591124,184.231976462172
258.158972209521,249.461135328213,249.325169990621,237.948736577924
149.151528469827,149.761792098565,129.09571102903,129.162504588879
121.781830522936,128.280422486958,137.001239918272,134.976098711487
187.182857067625,171.745036447221,128.427164581194,123.660134819359
177.121042917872,171.188854136527,101.896516158644,80.0788195276118
235.986137611438,223.665808237565,214.824727257193,211.033758259656
192.804915923926,199.72408728621,232.170195565516,252.591223638329
166.906370415846,155.981470379276,132.011804896075,122.07281014873
157.696551785568,153.94956563511,104.136114425337,100.941579663386
269.936205267484,153.021050345187,258.872991252911,204.529385625974
183.064886492903,180.746263380086,169.556696360122,162.51000882419
219.645824135912,202.880301023763,264.875043578933,228.166526033473
209.119240939386,209.732301804644,126.823596202449,128.10400868877
123.202513993735,126.847215479067,135.734487952222,142.771859485168
144.443793481528,153.944081164127,125.771480934626,124.619400879702
269.988333370405,248.034187639502,188.881000597373,168.595313470512
220.161822413915,221.172760971259,242.215150809871,254.712242718563
172.537579769162,167.322882777988,143.1198933459,138.035251378921
113.469967962432,104.119961289493,108.667088151547,106.172754746919
194.507814575271,201.371543654447,141.910640747369,143.808510632562
131.904481174951,125.973118366853,181.671082782684,175.522596169139
129.836282434648,133.116741781644,132.706829502433,123.932263440859
189.695989245803,187.754631202579,186.375943660636,216.608797366547
196.752987793679,187.126354297283,264.543098389434,256.89930111074
140.63222585267,140.695085056596,171.07756154475,171.238674605065
204.35439903654,176.510384799489,153.996191250094,150.118495611585
224.001661797724,236.880890821701,141.31870220128,141.102646070184
171.976794235028,171.965555535881,154.233676181019,147.155750486356
281.522124875076,278.772073550859,172.253326483679,169.263886319842
141.415864609263,140.457744161533,163.591863644365,163.705568335278
